method,q,PN_order,chi_eff_bin,chi_eff_mean,median_abs_delta_a,mean_abs_delta_a,p25_abs_delta_a,p75_abs_delta_a,n
Padé,0.45,0PN,"(0.133, 0.267]",0.20036297640653353,0.26235638320134264,0.2855105970135958,0.10687959091790408,0.42715612079580595,46
Padé,0.45,0PN,"(0.267, 0.4]",0.332090414123082,0.1294987102659088,0.13782595741610704,0.0715724905409983,0.191655610758051,44
Padé,0.45,0PN,"(0.4, 0.533]",0.4637738546994445,0.176263316006235,0.1732446945520617,0.0860381940554053,0.2514831019932382,33
Padé,0.45,0PN,"(0.533, 0.667]",0.5949356148993173,0.3247785052165475,0.31474880347189327,0.2697745038658992,0.3733434314962851,21
Padé,0.45,0PN,"(0.667, 0.8]",0.715466827989514,0.455922974481068,0.45306261483382265,0.4326661962759228,0.4807541892101268,9
Padé,0.45,1PN,"(-0.801, -0.667]",-0.7154668279895141,1.7761545160535746,1.7821872556865788,1.693827652865644,1.8932075830205315,9
Padé,0.45,1PN,"(-0.667, -0.533]",-0.5949356148993173,1.3176748308620398,1.2969660474657652,1.1421144909149308,1.4629113132441005,21
Padé,0.45,1PN,"(-0.533, -0.4]",-0.4637738546994446,0.91010168538863,0.9204945018924142,0.7399759923434814,1.091265448822031,33
Padé,0.45,1PN,"(-0.4, -0.267]",-0.33209041412308204,0.5663130547374484,0.6013152869462636,0.42574720309246183,0.7813366503841422,44
Padé,0.45,1PN,"(-0.267, -0.133]",-0.20036297640653364,0.2910964608992263,0.3158318404696643,0.17493126321621477,0.44902379461516073,46
Padé,0.45,1PN,"(-0.133, 0.0]",-0.0667876588021779,0.0995327479791474,0.12675408915175262,0.041834342156524526,0.1856371997998882,46
Padé,0.45,1PN,"(0.0, 0.133]",0.06678765880217781,0.08844690105771574,0.09108733186471685,0.04301798224446768,0.1316475180065126,46
Padé,0.45,1PN,"(0.133, 0.267]",0.20036297640653353,0.17248710114709187,0.16656019003924086,0.11829842465873985,0.22074503257287345,46
Padé,0.45,1PN,"(0.267, 0.4]",0.332090414123082,0.2461492416917594,0.2519548551308521,0.21068605690785966,0.2976467570368482,44
Padé,0.45,1PN,"(0.4, 0.533]",0.4637738546994445,0.3041077278741624,0.30960168704778646,0.27704908168421793,0.34090404558758003,33
Padé,0.45,1PN,"(0.533, 0.667]",0.5949356148993173,0.3575556729016416,0.3581748163100301,0.3328351754873448,0.38361564229739664,21
Padé,0.45,1PN,"(0.667, 0.8]",0.715466827989514,,,,,9
Padé,0.45,2PN,"(-0.801, -0.667]",-0.7154668279895141,2.3566602427358294,2.3537999725138175,2.3015033669162093,2.413259588221051,9
Padé,0.45,2PN,"(-0.667, -0.533]",-0.5949356148993173,2.028404029678568,2.008922957442477,1.9113822860691152,2.102169829641966,21
Padé,0.45,2PN,"(-0.533, -0.4]",-0.4637738546994446,1.6858068937645505,1.6865589871288167,1.5747841241667777,1.791439094016302,33
Padé,0.45,2PN,"(-0.4, -0.267]",-0.33209041412308204,1.3547860060546388,1.3609912545430234,1.229792127070856,1.491738217514527,44
Padé,0.45,2PN,"(-0.267, -0.133]",-0.20036297640653364,1.0171689023579327,1.0259028475703744,0.9038563692647765,1.138798181437898,46
Padé,0.45,2PN,"(-0.133, 0.0]",-0.0667876588021779,0.7074114188043221,0.7116031595548974,0.6229240571359225,0.8032955541959241,46
Padé,0.45,2PN,"(0.0, 0.133]",0.06678765880217781,0.3876161069848658,0.38787317430020923,0.2891052168024685,0.47136385575980033,46
Padé,0.45,2PN,"(0.133, 0.267]",0.20036297640653353,0.1050229400816311,0.12980497657319823,0.060286744514473724,0.18915959814902905,46
Padé,0.45,2PN,"(0.267, 0.4]",0.332090414123082,0.2062992841158175,0.21011967585287872,0.11663327538005658,0.2977873619390715,44
Padé,0.45,2PN,"(0.4, 0.533]",0.4637738546994445,0.4356134547052219,0.4276579371172378,0.37509814678625686,0.4824113823819063,33
Padé,0.45,2PN,"(0.533, 0.667]",0.5949356148993173,0.5687767950138527,0.5621952183502339,0.5312550174715431,0.5900362843616025,21
Padé,0.45,2PN,"(0.667, 0.8]",0.715466827989514,,,,,9
Padé,0.5,0PN,"(-0.801, -0.667]",-0.7282651072124756,3.775284102652207,3.811475954436901,3.658415264879308,3.993519544771959,9
Padé,0.5,0PN,"(-0.667, -0.533]",-0.5968253968253968,3.108320396454006,3.075917294064743,2.848741052348128,3.30772465706822,21
Padé,0.5,0PN,"(-0.533, -0.4]",-0.45902992776057794,2.4095180586001366,2.420450029949084,2.1738963925509864,2.710290370657607,34
Padé,0.5,0PN,"(-0.4, -0.267]",-0.33093259464450603,1.9157054234522077,1.9353659263291447,1.6514247227799892,2.2225767250258524,38
Padé,0.5,0PN,"(-0.267, -0.133]",-0.208187134502924,1.393724512651616,1.4350808848965018,1.1707779382201067,1.6862622630548332,48
Padé,0.5,0PN,"(-0.133, 0.0]",-0.07017543859649127,0.9179229258619641,0.9373843809778212,0.7032080294063194,1.133251888380467,50
Padé,0.5,0PN,"(0.0, 0.133]",0.07017543859649118,0.5227502321472013,0.5420900523599762,0.36742484830053723,0.718440360015368,50
Padé,0.5,0PN,"(0.133, 0.267]",0.20818713450292392,0.2151178166359275,0.23448334929474543,0.0939855100722181,0.34706407751217144,48
Padé,0.5,0PN,"(0.267, 0.4]",0.330932594644506,0.1125786764819762,0.11859661706193943,0.05341974436328245,0.1707521345369497,38
Padé,0.5,0PN,"(0.4, 0.533]",0.4590299277605778,0.16469496566027786,0.16676952518356503,0.09593555286280661,0.2432199230629413,34
Padé,0.5,0PN,"(0.533, 0.667]",0.5968253968253967,0.3323777421898715,0.32245572462859284,0.2735031573750688,0.372512681115678,21
Padé,0.5,0PN,"(0.667, 0.8]",0.7282651072124756,0.4638327522763035,0.46813655043728325,0.442276005502606,0.5002731949917325,9
Padé,0.5,1PN,"(-0.801, -0.667]",-0.7282651072124756,1.4814547197139127,1.5034229269119261,1.408590282381058,1.613281520969578,9
Padé,0.5,1PN,"(-0.667, -0.533]",-0.5968253968253968,1.0729168560999711,1.0635255787027305,0.9397501532582192,1.1875126358660997,21
Padé,0.5,1PN,"(-0.533, -0.4]",-0.45902992776057794,0.7029474015344295,0.7108202434410212,0.5841374166533977,0.8523045720777486,34
