q,chi1_z,chi2_z,PN_order,Padé,Taylor,Taylor_minus_Pade,Pade_better
0.25,-0.6315789473684211,0.631578947368421,1PN,0.2297774742596678,0.5959050939971582,0.3661276197374904,True
0.25,-0.6315789473684211,0.631578947368421,2PN,0.2593804345556969,0.6303085343411925,0.37092809978549557,True
0.25,-0.6315789473684211,0.7157894736842105,0PN,0.2888175568201938,0.8536966946049485,0.5648791377847546,True
0.25,-0.6315789473684211,0.7157894736842105,1PN,0.2704157166361756,0.5896702919646848,0.3192545753285092,True
0.25,-0.6315789473684211,0.7157894736842105,2PN,0.4248311581803299,0.637675092444733,0.21284393426440307,True
0.25,-0.6315789473684211,0.8,0PN,0.4104868878998471,0.833637524541397,0.42315063664154984,True
0.25,-0.6315789473684211,0.8,1PN,0.3320790471157688,0.5872128820771505,0.2551338349613817,True
0.25,-0.6315789473684211,0.8,2PN,0.5713029695080079,0.6464188026692095,0.07511583316120163,True
0.25,-0.5473684210526316,-0.8,0PN,6.281056402594006,6.281056402594006,0.0,False
0.25,-0.5473684210526316,-0.8,1PN,6.281056402594006,6.281056402594006,0.0,False
0.25,-0.5473684210526316,-0.8,2PN,6.281056402594006,4.137642061159863,-2.1434143414341422,False
0.25,-0.5473684210526316,-0.7157894736842105,0PN,6.288948497688384,6.288948497688384,0.0,False
0.25,-0.5473684210526316,-0.7157894736842105,1PN,5.646484251263741,4.509570559894605,-1.136913691369136,False
0.25,-0.5473684210526316,-0.7157894736842105,2PN,5.048024405279143,2.7949991027488905,-2.253025302530253,False
0.25,-0.5473684210526316,-0.6315789473684211,0PN,6.302894505161226,6.302894505161226,0.0,False
0.25,-0.5473684210526316,-0.6315789473684211,1PN,4.355499765687278,3.1473789536060703,-1.2081208120812077,False
0.25,-0.5473684210526316,-0.6315789473684211,2PN,4.101874403151025,2.1944836640771177,-1.9073907390739073,False
0.25,-0.5473684210526316,-0.5473684210526316,0PN,6.077938232893327,5.481878626932732,-0.5960596059605949,False
0.25,-0.5473684210526316,-0.5473684210526316,1PN,3.322462685338572,2.4439748365536933,-0.8784878487848786,False
0.25,-0.5473684210526316,-0.5473684210526316,2PN,3.381668605930631,1.811911630233061,-1.56975697569757,False
0.25,-0.5473684210526316,-0.4631578947368421,0PN,4.992668666069502,4.0541748166845615,-0.9384938493849404,False
0.25,-0.5473684210526316,-0.4631578947368421,1PN,2.513220721275021,1.9963690361065043,-0.5168516851685168,False
0.25,-0.5473684210526316,-0.4631578947368421,2PN,2.8220516043633306,1.537923191522046,-1.2841284128412846,False
0.25,-0.5473684210526316,-0.3789473684210527,0PN,4.083846892448037,3.11735024278307,-0.9664966496649665,False
0.25,-0.5473684210526316,-0.3789473684210527,1PN,1.886027110469839,1.678806388397632,-0.20722072207220688,False
0.25,-0.5473684210526316,-0.3789473684210527,2PN,2.3740759153503275,1.331571664925285,-1.0425042504250426,False
0.25,-0.5473684210526316,-0.2947368421052632,0PN,3.325360103190524,2.5276803352137263,-0.7976797679767977,False
0.25,-0.5473684210526316,-0.2947368421052632,1PN,1.4027678439646003,1.4403716043406378,0.03760376037603752,True
0.25,-0.5473684210526316,-0.2947368421052632,2PN,2.0044280099812024,1.1715447216523698,-0.8328832883288326,False
0.25,-0.5473684210526316,-0.2105263157894737,0PN,2.6920232995107987,2.125566653846232,-0.5664566456645668,False
0.25,-0.5473684210526316,-0.2105263157894737,1PN,1.0294570428851355,1.255879685149362,0.2264226422642266,True
0.25,-0.5473684210526316,-0.2105263157894737,2PN,1.6903231294937968,1.0446585630371508,-0.645664566456646,False
0.25,-0.5473684210526316,-0.1263157894736842,0PN,2.1642271786760245,1.8337941353716936,-0.330433043304331,False
0.25,-0.5473684210526316,-0.1263157894736842,1PN,0.7408848444426006,1.1097217281309693,0.36883688368836864,True
0.25,-0.5473684210526316,-0.1263157894736842,2PN,1.4161523711952757,0.9449052464828052,-0.47124712471247054,False
0.25,-0.5473684210526316,-0.0421052631578947,0PN,1.714252657224281,1.604641696128171,-0.10961096109611002,False
0.25,-0.5473684210526316,-0.0421052631578947,1PN,0.509332165175076,0.9861798499435528,0.47684768476847683,True
0.25,-0.5473684210526316,-0.0421052631578947,2PN,1.1773989718557445,0.8589671286714253,-0.31843184318431916,False
0.25,-0.5473684210526316,0.0421052631578946,0PN,1.3407851526006644,1.4327943535207557,0.09200920092009124,True
