PN_order,model,pade_num_degree,pade_den_degree,pade_label,sigma_power,a_max,S_max,M_at_max,J_at_max,chi_at_max,Ebind_at_max,a_merger_NR,delta_a,cost_Ebind,cost_chi,nfev_Ebind,nfev_chi,a_extrap_min,a_extrap_max,n_extrap,n_physical_points,physical_fraction,flags,status,error
1PN,Padé [2/1],2,1,Padé [2/1],1.0,3.489448944894489,11.074521052691232,0.9839801327996549,0.5535841727687647,0.5717563613807791,-0.016019867200345008,3.141313659672962,0.34813528522152737,2.6998117075294203e-09,5.52580299295613e-08,11,971,1.0,15.0,10000,10000,1.0,OK,success,
1PN,Padé [2/1],2,1,Padé [2/1],2.0,3.4824482448244822,11.075567122367124,0.9839806113390448,0.5533482007513392,0.5715120873584594,-0.01601938866095506,3.141313659672962,0.3411345851515204,1.5904690897627916e-09,2.3773216284439513e-08,10,1055,1.0,15.0,10000,10000,1.0,OK,success,
1PN,Padé [2/1],2,1,Padé [2/1],3.0,3.4768476847684777,11.076512122814167,0.9839815436675147,0.5531380349186964,0.5712939401338034,-0.016018456332485193,3.141313659672962,0.3355340250955159,9.32642185702548e-10,1.0193745847431046e-08,9,788,1.0,15.0,10000,10000,1.0,OK,success,
1PN,Padé [2/1],2,1,Padé [2/1],4.0,3.4838483848384847,11.076273354807295,0.9839704874336097,0.5531232845495414,0.5712915438502171,-0.016029512566390174,3.141313659672962,0.34253472516552286,6.472196112383699e-10,4.374132833717681e-09,6,473,1.0,15.0,10000,10000,1.0,OK,success,
1PN,Padé [3/1],3,1,Padé [3/1],1.0,1.0,11.846356009397736,1.0173923309027382,0.590222908777328,0.5702156634229506,0.017392330902738243,3.141313659672962,2.141313659672962,1.66759939190797e-11,2.87125878628558e-12,1,15,1.0,15.0,10000,10000,1.0,maximum_at_lower_boundary,success,
1PN,Padé [3/1],3,1,Padé [3/1],2.0,1.0,11.868223568296855,1.018242286218495,0.5907355456249104,0.5697585439354051,0.01824228621849503,3.141313659672962,2.141313659672962,6.753042569584977e-12,1.1053380433168059e-12,1,15,1.0,15.0,10000,10000,1.0,maximum_at_lower_boundary,success,
1PN,Padé [3/1],3,1,Padé [3/1],3.0,1.0,11.89043842564299,1.019081165050458,0.591100143869505,0.5691719843995485,0.019081165050458145,3.141313659672962,2.141313659672962,2.6576518763476997e-12,3.5482727867020003e-13,1,15,1.0,15.0,10000,10000,1.0,maximum_at_lower_boundary,success,
1PN,Padé [3/1],3,1,Padé [3/1],4.0,1.0,11.912583015337948,1.019912325713956,0.5914340390284664,0.5685656726071063,0.01991232571395605,3.141313659672962,2.141313659672962,9.556799795973347e-13,5.617728504603292e-14,1,15,1.0,15.0,10000,10000,1.0,maximum_at_lower_boundary,success,
1PN,Padé [2/2],2,2,Padé [2/2],1.0,2.904190419041905,11.121523129313534,0.9836892015914697,0.5408220700203837,0.5589057764262275,-0.016310798408530204,3.141313659672962,0.23712324063105683,7.696754344976853e-11,3.956168725949283e-12,8,356,1.0,15.0,10000,10000,1.0,OK,success,
1PN,Padé [2/2],2,2,Padé [2/2],2.0,2.8845884588458848,11.123199128479138,0.9836871476514134,0.5404128630082434,0.5584852188069348,-0.01631285234858649,3.141313659672962,0.25672520082707706,3.480660204502328e-11,2.290390099801698e-12,8,370,1.0,15.0,10000,10000,1.0,OK,success,
